,Unnamed: 0,Unnamed: 0.1,wine_id,name,vintage,wine_type,grape_simple,rating_num,kprice,imgurl
1794,1794,1794,1794,Chianti Classico Riserva Il Campitello,2015,Red wine,Sangiovese,201 ratings,"101,461",//images.vivino.com/thumbs/FSGPNdRkR0yqfb1K0cMzVA_pb_x600.png
1795,1795,1795,1795,Fortissimo,2018,Red wine,Blend,204 ratings,"76,660",//images.vivino.com/thumbs/EL-DLnQBStKzyDgBPH-uzA_pb_x600.png
1796,1796,1796,1796,The Boxer Shiraz,2020,Red wine,Shiraz/Syrah,216 ratings,"44,868",//images.vivino.com/thumbs/_jEM-6XiQdOfFVLGXQLPDA_pb_x600.png
1797,1797,1797,1797,Saint-_ilion Grand Cru (Grand Cru Classe),2001,Red wine,Merlot,213 ratings,"98,305",//images.vivino.com/thumbs/gq-xlFMyTZmaNsBcUuswWA_pb_x600.png
1798,1798,1798,1798,N?_ticchia Etna,2014,Red wine,Nerello Mascalese,214 ratings,"248,017",//images.vivino.com/thumbs/qTLOUKa3Qyu4YFmqaOZQsQ_pb_x600.png
1799,1799,1799,1799,Sonhador,2016,Red wine,Blend,214 ratings,"39,344",//images.vivino.com/thumbs/TcnaQLBERoS0v8y1U7M9AA_pb_x600.png
1800,1800,1800,1800,Blanco (Torronte_ - Riesling),2021,White wine,Blend,219 ratings,"16,910",//images.vivino.com/thumbs/nndbeAECTj6p3pgaaVlfNw_pb_x600.png
1801,1801,1801,1801,Cuve_ Violette Syrah,2017,Red wine,Blend,220 ratings,"67,641",//images.vivino.com/thumbs/ElOW7VRRRdqOhmyp4u89yw_pb_x600.png
1802,1802,1802,1802,Te_e--Te_e,2014,Red wine,Blend,232 ratings,"39,457",//images.vivino.com/thumbs/zm91TTeFT6-0eZYNiYoPzQ_pb_x600.png
1803,1803,1803,1803,Don Alfio Qvevri,2016,Red wine,Nerello Mascalese,140 ratings,"91,315",//images.vivino.com/thumbs/HK1_Pb3BTuWDoueLT1-05Q_pb_x600.png
1804,1804,1804,1804,Il Priore Chianti Colli Senesi Riserva,2016,Red wine,Blend,136 ratings,"49,603",//images.vivino.com/thumbs/d50mStCWTfaoEWr77-jM-A_pb_x600.png
1805,1805,1805,1805,Leche_ Sforzato di Valtellina,2016,Red wine,Nebbiolo,27 ratings,"157,829",//images.vivino.com/thumbs/5AAJ8mASQdGFV_latlmv8Q_150x200.jpg
1806,1806,1806,1806,Ribbon Vale Vineyard Cabernet Sauvignon,2017,Red wine,Cabernet Sauvignon,103 ratings,"73,278",//images.vivino.com/thumbs/DF8elLP4S0mhNNlB9Pxpcw_pb_x600.png
1807,1807,1807,1807,Che_eauneuf-du-Pape Blanc,2005,White wine,Blend,92 ratings,"236,743",//images.vivino.com/thumbs/8J8u56HSRYe1_BKaUGY0ig_pb_x600.png
1808,1808,1808,1808,Underhill Shiraz,2015,Red wine,Shiraz/Syrah,93 ratings,"110,480",//images.vivino.com/thumbs/1hZmsVIYS1CQpE9bReCGtg_pb_x600.png
1809,1809,1809,1809,Cabernet Sauvignon,2018,Red wine,Cabernet Sauvignon,95 ratings,"64,259",//images.vivino.com/thumbs/AkwAGefdQ0eV1wQk0tbFDQ_pb_x600.png
1810,1810,1810,1810,Owen's Vineyard Cabernet Sauvignon,2017,Red wine,Cabernet Sauvignon,94 ratings,"56,367",//images.vivino.com/thumbs/cnR8bYC4S8esKK5dZ_HU8Q_pb_x600.png
1811,1811,1811,1811,Per Aspera Chablis,2020,White wine,Chardonnay,96 ratings,"37,202",//images.vivino.com/thumbs/AVVTfSROTZ6fv5CyrV4r1A_pb_x600.png
1812,1812,1812,1812,Volnay 1er Cru 'En Caillerets',2014,Red wine,Pinot Noir,96 ratings,"204,972",//images.vivino.com/thumbs/NI68uRS2QRup2bskclw2hw_pb_x600.png
1813,1813,1813,1813,Giachini Barolo,2014,Red wine,Nebbiolo,97 ratings,"95,825",//images.vivino.com/thumbs/mvppwFX-QMeyYFXH2zlEjA_pb_x600.png
